epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.348,0.92763,5.53795,0.62267,0.04714,0.05521,0.02908,0.01429,0.72094,1.67735,0.54785,0.00333229,0.00333229,0.00333229
2,401.63,0.91739,1.85739,0.64139,0.00242,0.11223,0.00924,0.00252,0.84597,1.49822,0.67088,0.00659963,0.00659963,0.00659963
3,591.181,1.01924,1.81715,0.72518,0.00333,0.1009,0.01085,0.00367,0.88856,1.52631,0.73089,0.00980098,0.00980098,0.00980098
4,779.968,1.01169,1.78524,0.73341,0.01309,0.09272,0.01788,0.00548,0.95069,1.51488,0.72015,0.009703,0.009703,0.009703
5,967.744,0.98399,1.75202,0.7047,0.00282,0.07282,0.00598,0.00252,0.86173,1.47016,0.66356,0.009604,0.009604,0.009604
6,1164.23,1.008,1.78256,0.7148,0.00796,0.13028,0.01168,0.00367,0.83862,1.44148,0.68154,0.009505,0.009505,0.009505
7,1350.35,0.91594,1.65112,0.65947,0.0138,0.09405,0.023,0.00822,0.76713,1.42437,0.64463,0.009406,0.009406,0.009406
8,1538.23,0.91955,1.63752,0.65971,0.02302,0.13437,0.03188,0.01009,0.77765,1.4149,0.64118,0.009307,0.009307,0.009307
9,1722.56,0.87701,1.59682,0.62578,0.00861,0.1487,0.02436,0.0108,0.75124,1.38755,0.63095,0.009208,0.009208,0.009208
10,1906.71,0.92617,1.675,0.66392,0.0086,0.13032,0.03129,0.01259,0.7331,1.3578,0.62423,0.009109,0.009109,0.009109
11,2090.49,0.89795,1.60018,0.64338,0.00887,0.21512,0.04276,0.017,0.74918,1.31418,0.61879,0.00901,0.00901,0.00901
12,2275.47,0.8977,1.59445,0.6362,0.5927,0.01618,0.04662,0.019,0.7266,1.35344,0.61973,0.008911,0.008911,0.008911
13,2461.15,0.93047,1.63795,0.66434,0.62459,0.03359,0.04808,0.02013,0.73211,1.35211,0.61703,0.008812,0.008812,0.008812
14,2648.57,0.94197,1.69891,0.68702,0.40474,0.06241,0.05699,0.02637,0.72735,1.33851,0.60503,0.008713,0.008713,0.008713
15,2834.54,0.8867,1.60696,0.64348,0.59399,0.03398,0.05718,0.02386,0.73412,1.3118,0.62586,0.008614,0.008614,0.008614
16,3020.34,0.88625,1.60847,0.6314,0.55099,0.02853,0.03195,0.01098,0.73882,1.40309,0.60685,0.008515,0.008515,0.008515
17,3206.13,0.92073,1.63814,0.65016,0.01554,0.21613,0.05446,0.02362,0.71391,1.34052,0.58878,0.008416,0.008416,0.008416
18,3392.07,0.89564,1.63116,0.64301,0.6574,0.03917,0.05888,0.02529,0.74401,1.28926,0.61887,0.008317,0.008317,0.008317
19,3577.45,0.89549,1.64196,0.64486,0.01123,0.22541,0.04228,0.01815,0.71221,1.33667,0.59299,0.008218,0.008218,0.008218
20,3762.98,0.85991,1.55118,0.6162,0.60614,0.05026,0.05996,0.02869,0.68018,1.30156,0.58184,0.008119,0.008119,0.008119
21,3949.09,0.90699,1.6465,0.64002,0.5718,0.06816,0.04885,0.02291,0.70028,1.29599,0.59851,0.00802,0.00802,0.00802
22,4134.65,0.86047,1.56243,0.62397,0.73014,0.0454,0.05609,0.02601,0.69148,1.29856,0.5829,0.007921,0.007921,0.007921
23,4319.91,0.87223,1.57549,0.63341,0.67151,0.05328,0.06194,0.02755,0.68973,1.30137,0.59579,0.007822,0.007822,0.007822
24,4485.63,0.84032,1.54275,0.60232,0.61307,0.0454,0.05105,0.02395,0.67895,1.2937,0.56871,0.007723,0.007723,0.007723
25,4656.83,0.81177,1.48544,0.57956,0.73354,0.04207,0.04674,0.02068,0.70258,1.31267,0.57772,0.007624,0.007624,0.007624
26,4842.39,0.88675,1.61089,0.63641,0.04784,0.11628,0.05824,0.02751,0.67736,1.28908,0.57884,0.007525,0.007525,0.007525
27,5039.91,0.83894,1.56416,0.60208,0.6392,0.03246,0.05022,0.02049,0.69447,1.29102,0.568,0.007426,0.007426,0.007426
28,5224.15,0.85812,1.55861,0.608,0.62099,0.04217,0.06483,0.03134,0.67672,1.27196,0.58081,0.007327,0.007327,0.007327
