epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.748,0.93684,5.55705,0.61926,0.05045,0.07963,0.03772,0.01108,0.71335,1.59426,0.5638,0.00333229,0.00333229,0.00333229
2,385.671,0.92088,1.85077,0.6278,0.00183,0.03074,0.00218,0.0008,0.90245,1.76183,0.74377,0.00659963,0.00659963,0.00659963
3,568.947,1.01138,1.81666,0.71881,0.00122,0.05502,0.00205,0.00064,0.84955,1.52793,0.6941,0.00980098,0.00980098,0.00980098
4,751.208,1.02059,1.80065,0.72976,0.00438,0.14089,0.019,0.00534,0.86128,1.4195,0.67174,0.009703,0.009703,0.009703
5,934.548,0.97004,1.71637,0.69841,0.00506,0.12032,0.01654,0.00716,0.77058,1.38018,0.66108,0.009604,0.009604,0.009604
6,1118.32,0.98017,1.74705,0.7011,0.00558,0.13428,0.01634,0.00678,0.82095,1.40737,0.69798,0.009505,0.009505,0.009505
7,1299.65,0.91788,1.6296,0.6646,0.02566,0.13504,0.03551,0.01432,0.7623,1.43565,0.64125,0.009406,0.009406,0.009406
8,1481.32,0.91614,1.62651,0.65734,0.02653,0.105,0.03575,0.01222,0.76771,1.47484,0.64364,0.009307,0.009307,0.009307
9,1663.56,0.86576,1.57938,0.61802,0.00931,0.16322,0.035,0.01448,0.71448,1.36471,0.62443,0.009208,0.009208,0.009208
10,1844.91,0.92062,1.65294,0.66173,0.00379,0.07291,0.01225,0.00443,0.80258,1.50725,0.63774,0.009109,0.009109,0.009109
11,2027.87,0.88543,1.58629,0.63693,0.01517,0.17528,0.04421,0.01839,0.70919,1.41335,0.60104,0.00901,0.00901,0.00901
12,2209.93,0.89292,1.59919,0.63376,0.02861,0.09395,0.03359,0.01451,0.72634,1.34914,0.62233,0.008911,0.008911,0.008911
13,2392.2,0.9279,1.64756,0.66669,0.56431,0.04369,0.04004,0.01891,0.71092,1.3675,0.60369,0.008812,0.008812,0.008812
14,2576.32,0.93391,1.6947,0.68046,0.56088,0.03236,0.04442,0.02095,0.70489,1.34971,0.5924,0.008713,0.008713,0.008713
15,2759.07,0.89677,1.59329,0.64443,0.55225,0.04693,0.04864,0.02098,0.73168,1.34137,0.63398,0.008614,0.008614,0.008614
16,2941.27,0.88537,1.59939,0.6292,0.555,0.02551,0.0352,0.01365,0.73461,1.38589,0.60824,0.008515,0.008515,0.008515
17,3123.99,0.92132,1.62113,0.6462,0.01564,0.26612,0.05509,0.02499,0.71399,1.32692,0.58108,0.008416,0.008416,0.008416
18,3306.39,0.88506,1.60896,0.63938,0.59996,0.02567,0.05115,0.02439,0.71248,1.30881,0.61999,0.008317,0.008317,0.008317
19,3488.92,0.90631,1.63367,0.65155,0.013,0.20908,0.0458,0.02216,0.73099,1.32795,0.61656,0.008218,0.008218,0.008218
20,3671.11,0.85097,1.52859,0.61722,0.57467,0.05255,0.06337,0.02843,0.70416,1.31389,0.59982,0.008119,0.008119,0.008119
21,3854.44,0.89696,1.61474,0.64539,0.01904,0.26407,0.06228,0.02951,0.68884,1.2644,0.58434,0.00802,0.00802,0.00802
22,4036.11,0.84558,1.53926,0.61846,0.63472,0.05673,0.061,0.02719,0.69634,1.29861,0.59203,0.007921,0.007921,0.007921
23,4218.33,0.86014,1.56361,0.62749,0.65363,0.04702,0.05883,0.02767,0.68887,1.31192,0.59201,0.007822,0.007822,0.007822
24,4400.84,0.83665,1.53274,0.60031,0.53736,0.08424,0.05194,0.02502,0.69676,1.31557,0.58292,0.007723,0.007723,0.007723
25,4582.24,0.81151,1.47631,0.57688,0.09686,0.23626,0.10604,0.04421,0.71244,1.31399,0.58934,0.007624,0.007624,0.007624
26,4764.95,0.87401,1.60256,0.6305,0.03057,0.19979,0.06013,0.02752,0.68187,1.30011,0.58354,0.007525,0.007525,0.007525
27,4947.07,0.83777,1.55161,0.60777,0.6126,0.03517,0.05368,0.02488,0.69562,1.29629,0.57915,0.007426,0.007426,0.007426
28,5129.55,0.85181,1.54944,0.60857,0.64222,0.0357,0.06891,0.03073,0.68989,1.31062,0.59479,0.007327,0.007327,0.007327
29,5311.36,0.84488,1.53528,0.61048,0.61008,0.04864,0.06086,0.03016,0.69764,1.30598,0.59487,0.007228,0.007228,0.007228
30,5493.8,0.82949,1.51177,0.60309,0.58312,0.06168,0.06448,0.03131,0.67986,1.2892,0.57496,0.007129,0.007129,0.007129
31,5676.61,0.85941,1.56263,0.61744,0.62273,0.04864,0.06553,0.03208,0.67392,1.26756,0.5694,0.00703,0.00703,0.00703
32,5859.5,0.86154,1.58195,0.61786,0.71072,0.04702,0.06268,0.02922,0.66841,1.27378,0.56222,0.006931,0.006931,0.006931
33,6041.53,0.82538,1.51787,0.59582,0.62131,0.04706,0.07626,0.03566,0.68335,1.2559,0.57382,0.006832,0.006832,0.006832
34,6223.57,0.83117,1.50797,0.59177,0.66127,0.05359,0.0703,0.03126,0.6688,1.27975,0.5621,0.006733,0.006733,0.006733
35,6405.3,0.82219,1.49565,0.59299,0.62098,0.05511,0.06904,0.03331,0.65975,1.26388,0.56713,0.006634,0.006634,0.006634
36,6588.15,0.83496,1.53616,0.5944,0.75909,0.04231,0.0726,0.03389,0.65301,1.26882,0.56235,0.006535,0.006535,0.006535
37,6770.99,0.84558,1.54211,0.60785,0.69228,0.05261,0.06488,0.03098,0.64457,1.25105,0.54414,0.006436,0.006436,0.006436
